gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,associate's degree,standard,complete,52,32,64
female,group A,high school,Free/reduced,not complete,70,55,50
male,group A,college,standard,complete,39,50,54
female,group B,college,free/reduced,complete,66,71,32
male,group B,associate's degree,standard,complete,48,30,84
male,group C,associate's degree,free/reduced,complete,66,60,97
Female,group C,High school,,not complete,78,35,40
undisclosed,group C,Bachelor's degree,standard,not complete,87,74,88
female,group E,master's degree,free/reduced,complete,32,40,52
male,group C,master's degree,free/reduced,not complete,34,68,49
female,group C,college,standard,complete,89,98,78
undisclosed,group D,associate's degree,standard,complete,71,39,63
male,group E,master's degree,standard,complete,91,32,64
female,group A,college,free/reduced,complete,89,48,71
female,group A,college,free/reduced,complete,89,48,71
female,group B,college,standard,complete,98,30,99
male,group D,high school,free/reduced,not complete,48,38,98
female,group B,college,free/reduced,complete,72,34,99
other,,college,free/reduced,complete,87,35,87
female,group D,associate's degree,standard,not complete,30,50,61
male,group C,high school,standard,complete,704,64,33
,group C,high school,free/reduced,not complete,36,35,90
female,group B,high school,free/reduced,complete,35,61,34
male,group A,bachelor's degree,free/reduced,not complete,37,59,76
male,group E,associate's degree,free/reduced,complete,31,62,87
male,group E,high school,free/reduced,not complete,47,56,30
female,group B,bachelor's degree,free/reduced,complete,38,68,32
undisclosed,group D,master's degree,standard,not complete,49,91,55
female,group B,associate's degree,standard,not complete,81,100,36
male,group B,high school,free/reduced,complete,76,45,49
female,group E,college,standard,complete,36,85,95
male,group A,high school,free/reduced,complete,71,72,43
female,group B,high school,free/reduced,complete,35,39,52
male,group C,college,free/reduced,not complete,77,50,35
female,group B,high school,free/reduced,complete,54,97,64
male,group E,high school,free/reduced,not complete,97,87,96
other,group D,college,standard,not complete,40,43,36
female,group B,high school,free/reduced,complete,90,66,47
female,group D,associate's degree,free/reduced,complete,33,100,79
female,group E,college,standard,not complete,252,42,74
male,group C,high school,standard,complete,45,85,66
female,group C,bachelor's degree,free/reduced,not complete,37,97,94
male,group E,college,standard,not complete,75,86,42
female,group B,college,standard,complete,42,79,48
female,group B,associate's degree,standard,not complete,38,55,34
female,group C,bachelor's degree,free/reduced,,50,47,96
male,group B,bachelor's degree,standard,complete,87,98,69
